plate_number,owner_name,address,vehicle_year,vehicle_make,vehicle_model,vehicle_color,reg_expiry,insurance,insurance_provider,policy_number,fines,fine_amount,is_flagged
KL01CA2555,Rajesh Kumar,"14 MG Road, Ernakulam, Kerala 682011",2017,Suzuki,Ciaz,Silver,2025-03-15,Yes,Nepal Insurance Co.,POL-55012301,2,350,False
PG MN 112,Hans Mueller,"Podgorica Main St 44, Montenegro",2014,Mercedes-Benz,E220 CDI,Black,2024-08-20,Yes,Himalayan General Insurance,POL-70291817,3,890,True
PRENUP,Jessica Taylor,"221 Oak Avenue, Hartford, CT 06103",2012,Chevrolet,Camaro SS,Black,2026-11-30,No,,,1,275,False
DZ17YXR,Oliver James,"15 Parkside Crescent, Birmingham, UK B15 2TT",2017,Subaru,Levorg,Blue,2028-06-01,Yes,Sagarmatha Insurance,POL-61019678,1,500,True
PU18BES,Emily Watson,"8 High Street, Bristol, UK BS1 4AQ",2018,Peugeot,208,Blue,2024-12-31,Yes,Siddhartha Insurance,POL-95225343,0,0,False
80211N,Michael Chen,"1204 Cardinal Lane, Virginia Beach, VA 23451",2007,Hyundai,Sonata,Gray,2024-05-01,No,,,4,1200,True
YSX213,Sarah Williams,"42 River Road, Melbourne, VIC 3000",2018,Toyota,Fortuner,Gray,2027-09-15,Yes,Shikhar Insurance,POL-28740864,0,0,False
G526JHD,James Harrison,"99 King Street, London, UK SW1A 1AA",2010,Audi,R8,Silver,2025-01-20,Yes,Everest Insurance,POL-16323852,5,2500,True
MH01AV8866,Priya Sharma,"305 Linking Road, Bandra West, Mumbai 400050",2016,Volkswagen,Polo TDI,Red,2024-09-10,Yes,Lumbini General Insurance,POL-11540956,1,150,False
TN37CS2765,Arun Krishnan,"78 Anna Salai, Coimbatore, Tamil Nadu 641001",2019,Toyota,Innova,White,2028-02-28,Yes,Nepal Insurance Co.,POL-42580349,0,0,False
SE·GA4471,Crystal Whitehead,"347 Amber Stream, Sanchezfort, AS 53855",2018,Tata,Nexon,Red,2026-04-29,Yes,Shikhar Insurance,POL-77187530,3,537,False
SA·JA8417,Brent Jordan,"010 Chandler Union Apt. 333, Taylorburgh, KY 61138",2016,Mahindra,XUV700,Black,2029-05-15,Yes,Lumbini General Insurance,POL-10076758,2,350,True
KO·GA5138,Thomas Ramos,"80132 Tucker Forest, Barreraburgh, MS 00783",2023,Suzuki,Swift,Gray,2026-10-29,Yes,Sagarmatha Insurance,POL-81498611,3,246,False
SE·CHA4442,Mrs. Rachel Gibson,"34309 Julie Centers Apt. 978, North Susan, CO 24857",2011,Chevrolet,Spark,Green,2030-03-19,Yes,Shikhar Insurance,POL-63551839,5,1080,False
SE·HA2082,Barry Hensley,"909 Robert Prairie, Sarahborough, TN 94373",2015,Suzuki,Dzire,Silver,2025-01-19,Yes,Nepal Insurance Co.,POL-19528530,3,195,False
BA·GA5513,Derek Anderson,"1079 Charles Forest Suite 251, West Justin, NV 71701",2013,Honda,Jazz,Gray,2027-07-19,Yes,Siddhartha Insurance,POL-87337818,1,250,False
PG·CHA1645,Lisa Archer,"841 Joseph Coves, West Juan, IL 94559",2016,Honda,HR-V,Green,2028-12-18,Yes,Nepal Insurance Co.,POL-97705310,5,375,True
